Participant,Tree.Node.Key,display,Response,Voice,Type,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
5bff21c4a1f0500001027953,task-haoh,accent,5,6,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,6,10,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,6,6,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,6,8,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,6,6,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,2,1,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,5,12,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,3,4,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,5,10,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,3,7,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,7,8,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,2,4,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,2,1,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,2,1,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,6,4,human,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,6,12,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5bff21c4a1f0500001027953,task-haoh,accent,5,3,clone,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5f2209e824eef86962b50d8f,task-haoh,accent,3,11,human,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,3,10,clone,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,3,9,human,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,2,7,human,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,4,6,clone,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,2,4,clone,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,4,11,clone,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,4,8,clone,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,3,12,human,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,2,11,human,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
5f2209e824eef86962b50d8f,task-haoh,accent,3,10,clone,Male,23,United Kingdom,2025-05-26T17:20:39.322000Z,2088,61,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
