Participant,Tree.Node.Key,display,Reaction.Time,Zone.Name,Response,Correct,audio1,audio2,voice,wav1_type,wav2_type,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
66d1c3631ae2992a556e29f8,task-2z3l,abx,2539.3,buttonB,Second,1,voice_04_clone_060.mp3,voice_04_human_060.mp3,4,clone,human,Female,25,United Kingdom,2025-06-13T13:15:24.358000Z,1882,14,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)"
6662f201ccf41c36e7408562,task-2z3l,abx,3093,buttonA,First,1,voice_07_human_060.mp3,voice_07_clone_060.mp3,7,human,clone,Female,32,United Kingdom,2025-06-13T17:21:17.945000Z,3398,173,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
676076a653533eb28075505e,task-2z3l,abx,4959.9,buttonA,First,0,voice_03_clone_060.mp3,voice_03_human_060.mp3,3,clone,human,Female,31,United Kingdom,2025-06-14T15:21:07.039000Z,1755,157,"London, England "
62869a4f229c733ab06541c8,task-2z3l,abx,767,buttonA,First,1,voice_08_human_060.mp3,voice_08_clone_060.mp3,8,human,clone,Female,30,United Kingdom,2025-06-14T20:33:44.738000Z,1554,18,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66dc359a2c478a445325aacf,task-2z3l,abx,1143.2,buttonB,Second,0,voice_10_human_060.mp3,voice_10_clone_060.mp3,10,human,clone,Female,18,United Kingdom,2025-06-14T13:27:34.332000Z,1933,77,"London, England "
6762cd09a461bc8ff539d1aa,task-2z3l,abx,1198.2,buttonB,Second,0,voice_10_human_060.mp3,voice_10_clone_060.mp3,10,human,clone,Female,26,United Kingdom,2025-06-13T16:20:05.512000Z,1899,24,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)"
6346a2ae3177517513d9157a,task-2z3l,abx,1979.9,buttonA,First,1,voice_07_human_060.mp3,voice_07_clone_060.mp3,7,human,clone,Male,34,United Kingdom,2025-06-15T18:18:07.861000Z,1633,172,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)"
5e975a3c798a1e20f34559e2,task-2z3l,abx,411.1,buttonB,Second,1,voice_03_clone_060.mp3,voice_03_human_060.mp3,3,clone,human,Female,23,United Kingdom,2025-06-15T20:55:02.917000Z,3274,84,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
627e759bb8737735e44890e1,task-2z3l,abx,659.4,buttonA,First,1,voice_06_human_060.mp3,voice_06_clone_060.mp3,6,human,clone,Female,25,United Kingdom,2025-06-11T15:07:41.575000Z,1537,147,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
6660222c0990a786afabe3b2,task-2z3l,abx,805.9000001,buttonB,Second,1,voice_10_clone_060.mp3,voice_10_human_060.mp3,10,clone,human,Female,32,United Kingdom,2025-06-11T15:21:04.683000Z,1747,170,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
