Nr,Event,Participant,TaskID,Reaction.Time,Audio,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Voice,Type,SentenceID,Noise,SubjectNr,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location,IntelligibilityTask
53,278,66a773d4190ba4a8ec71d766,task-x2qy,4070.6,voice_08_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,6,clone,2,3dB,NA,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,1218,169,"London, England ",Task37
54,365,667d95b8b25237ac4e75dfc7,task-lcuh,6112.7,voice_07_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,11,human,2,3dB,NA,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,1571,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task38
55,430,6728b1f4fe2f3ae23c9c086e,task-a44t,8115.4,voice_01_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,10,human,2,3dB,NA,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,1578,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task32
56,528,66d78e09da443c5b0f3fda98,task-zpav,11233.1,voice_12_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through ,5,1,3,clone,2,3dB,NA,Male,26,United Kingdom,2025-02-01T13:38:08.573000Z,1696,112,"London, England ",Task33
58,679,668aa1000b1af4158ed5f71b,task-s2xz,10412,voice_11_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,7,clone,2,3dB,NA,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,1163,108,Wales,Task34
59,783,6772052b4d23a9043a01c294,task-plll,4093,voice_10_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,8,clone,2,3dB,NA,Male,20,United Kingdom,2025-02-01T12:32:12.781000Z,1187,32,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task35
60,13,5c1a371c03554a000119aaf7,task-v562,5739.2,voice_10_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,8,human,2,3dB,NA,Female,28,United Kingdom,2025-01-31T12:18:42.602000Z,1943,109,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task26
61,23,65081e92ed65d2d467efc9c2,task-zh25,19287.4,voice_07_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,hit the ball straight and follow through,5,1,6,human,2,3dB,NA,Male,25,United Kingdom,2025-01-31T14:56:08.341000Z,2111,29,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task28
62,10,6717d1d0d323342f71f132bd,task-vdfc,6985.6,voice_08_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,12,human,2,3dB,NA,Female,26,United Kingdom,2025-01-31T12:15:59.112000Z,1470,18,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Task27
64,21,672b19cc67687cb549eb412c,task-q6h3,9065.5,voice_03_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,7,human,2,3dB,NA,Male,35,United Kingdom,2025-01-31T11:15:25.742000Z,1509,100,Scotland,Task21
65,15,67468d12f6ec9cc78afdf1db,task-xvn5,5880.1,voice_06_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,9,clone,2,3dB,NA,Female,26,United Kingdom,2025-01-31T12:31:53.870000Z,1066,21,"London, England ",Task29
66,13,67701cb8e95b8934348de694,task-imj1,7091.3,voice_10_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through ,5,1,12,clone,2,3dB,NA,Male,34,United Kingdom,2025-01-31T12:14:05.291000Z,1630,74,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task25
67,6,677af110577587c2e364d1d9,task-j8gt,6773.8,voice_12_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,11,clone,2,3dB,NA,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,1390,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task23
69,19,67865aa1cf8ca2f3ecd2f6f1,task-2ocn,4100.5,voice_11_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,1,human,2,3dB,NA,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,2964,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task24
70,34,678a98fcd4e1562e43020dcb,task-r7i4,7539.9,voice_01_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,11,clone,2,3dB,NA,Male,31,United Kingdom,2025-01-31T12:16:52.041000Z,1606,31,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Task22
71,23,5f6de39e91b3c4283af75851,task-k8cy,5701.5,voice_09_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,4,clone,2,3dB,NA,Female,22,United Kingdom,2025-02-03T16:44:13.315000Z,1357,54,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task36
