Type,Noise,Voice,SentenceID,Participant,StimulusID,Tree.Node.Key,IntelligibilityTask,Sex,Age,BirthCountry,Date,,Approvals,Location,,,,Reaction.Time,EventCode,ANSWER,Response,WordsCorrect,Accuracy,TimeTaken
clone,3dB,9,22,5f6de39e91b3c4283af75851,voice_09_clone_022_3dB.mp3,task-k8cy,Task36,Female,22,United Kingdom,2025-02-03T16:44:13.315000Z,,54,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,6825.7,21,a cramp is no small danger on a swim,a cramp is no small danger on a swim,5,1,1357
human,3dB,4,22,67660267ee75be78076712d5,voice_04_human_022_3dB.mp3,task-6xu5,Task30,Female,34,United Kingdom,2025-02-03T16:26:18.857000Z,,30,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,15500.2,434,a cramp is no small danger on a swim,the cramp is no small danger on swim,5,1,2763
human,-3dB,1,72,6728b1f4fe2f3ae23c9c086e,voice_01_human_072_-3dB.mp3,task-a44t,Task32,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,14317.2,465,a lathe cuts and trims any wood,a lathe cuts and trims any wood,5,1,1578
human,0dB,4,42,67628c956106c1752ccacb35,voice_04_human_042_0dB.mp3,task-4yg1,Task40,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",,,,9473.6,150,a pencil with black lead writes best,a pencil with black lead writes best,5,1,1928
human,0dB,8,42,66a773d4190ba4a8ec71d766,voice_08_human_042_0dB.mp3,task-x2qy,Task37,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,,169,"London, England ",,,,9143.7,309,a pencil with black lead writes best,a pencil with black lead writes best,5,1,1218
human,0dB,1,42,6728b1f4fe2f3ae23c9c086e,voice_01_human_042_0dB.mp3,task-a44t,Task32,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,8742,489,a pencil with black lead writes best,a pencil with black lead writes best,5,1,1578
human,0dB,11,42,668aa1000b1af4158ed5f71b,voice_11_human_042_0dB.mp3,task-s2xz,Task34,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,,108,Wales,,,,6518,743,a pencil with black lead writes best,a pencil of black lead writes best,5,1,1163
clone,0dB,10,42,5c1a371c03554a000119aaf7,voice_10_clone_042_0dB.mp3,task-v562,Task26,Female,28,United Kingdom,2025-01-31T12:18:42.602000Z,,109,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,11548.2,74,a pencil with black lead writes best,a pencil with black lead writes best ,5,1,1943
clone,0dB,7,42,65081e92ed65d2d467efc9c2,voice_07_clone_042_0dB.mp3,task-zh25,Task28,Male,25,United Kingdom,2025-01-31T14:56:08.341000Z,,29,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,14445.4,65,a pencil with black lead writes best,a pencil with black lead writes best,5,1,2111
clone,0dB,8,42,6717d1d0d323342f71f132bd,voice_08_clone_042_0dB.mp3,task-vdfc,Task27,Female,26,United Kingdom,2025-01-31T12:15:59.112000Z,,18,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",,,,9291,61,a pencil with black lead writes best,A pencil with black led writes best,5,1,1470
