Nr,Event,Participant,TaskID,Reaction.Time,Audio,Voice,Type,Sentence,Noise,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
2899,328,6773e0c2bb0187b6ecc2c835,task-zsef,7885,voice_07_clone_070_3dB.mp3,7,clone,70,3dB,a sash of gold silk will trim her dress,sash,gold,silk,trim,dress,a sash of gold silk would trim her dress,5,1,Female,35,United Kingdom,2025-05-27T11:04:46.328000Z,1700,68,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2900,329,6773e0c2bb0187b6ecc2c835,task-zsef,8769,voice_10_clone_063_3dB.mp3,10,clone,63,3dB,a gem in the rough needs work to polish,gem,rough,needs,work,polish,a gem in the rough needs work to polish,5,1,Female,35,United Kingdom,2025-05-27T11:04:46.328000Z,1700,68,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2901,330,6773e0c2bb0187b6ecc2c835,task-zsef,5626,voice_11_clone_074_3dB.mp3,11,clone,74,3dB,we now have a new base for shipping,now,have,new,base,shipping,we now have a new base for shipping,5,1,Female,35,United Kingdom,2025-05-27T11:04:46.328000Z,1700,68,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2903,332,6773e0c2bb0187b6ecc2c835,task-zsef,7756,voice_08_clone_061_3dB.mp3,8,clone,61,3dB,glass will clink when struck by metal,glass,will,clink,struck,metal,glass will clink when struck with metal,5,1,Female,35,United Kingdom,2025-05-27T11:04:46.328000Z,1700,68,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2921,599,67766db6d5f664c343ae5808,task-yg5q,7960.3,voice_03_human_008_-3dB.mp3,3,human,8,-3dB,the wide road shimmered in the hot sun,wide,road,shimmered,hot,sun,The wide road shimmered in the hot sun,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2923,601,67766db6d5f664c343ae5808,task-yg5q,6430.6,voice_11_human_005_-3dB.mp3,11,human,5,-3dB,two blue fish swam in the tank,two,blue,fish,swam,tank,two blue fish swam in the tank,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2925,603,67766db6d5f664c343ae5808,task-yg5q,8513,voice_03_human_018_-3dB.mp3,3,human,18,-3dB,open the crate but don't break the glass,open,crate,don't,break,glass,open the crate but don't break glass,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2941,619,67766db6d5f664c343ae5808,task-yg5q,7093.1,voice_01_human_027_-6dB.mp3,1,human,27,-6dB,the coffee stand is too high for the couch,coffee,stand,too,high,couch,the coffee stand is too high for the couch,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2947,625,67766db6d5f664c343ae5808,task-yg5q,12613.8,voice_12_clone_076_0dB.mp3,12,clone,76,0dB,breakfast buns are fine with a hot drink,breakfast,buns,fine,hot,drink,breakfast buns are fine with a hot drink,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2949,627,67766db6d5f664c343ae5808,task-yg5q,9158.5,voice_01_clone_057_3dB.mp3,1,clone,57,3dB,the nozzle of the fire hose was bright brass,nozzle,fire,hose,bright,brass,the nozzle of the fire hose was bright brass,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2951,629,67766db6d5f664c343ae5808,task-yg5q,7147.4,voice_04_clone_059_3dB.mp3,4,clone,59,3dB,fill the ink jar with sticky glue,fill,ink,jar,sticky,glue,fill the ink jar with sticky glue,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2952,630,67766db6d5f664c343ae5808,task-yg5q,6703,voice_03_clone_048_3dB.mp3,3,clone,48,3dB,yell and clap as the curtain slides back,yell,clap,curtain,slides,back,yell and clap as the curtain slides back,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2953,631,67766db6d5f664c343ae5808,task-yg5q,6700.3,voice_12_clone_046_3dB.mp3,12,clone,46,3dB,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2954,632,67766db6d5f664c343ae5808,task-yg5q,11983.5,voice_08_clone_053_3dB.mp3,9,clone,53,3dB,find the twin who stole the pearl necklace014,find,twin,stole,pearl,necklace,find the twin who stole the pearl necklace,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2955,633,67766db6d5f664c343ae5808,task-yg5q,10419.5,voice_07_clone_051_3dB.mp3,7,clone,51,3dB,the rude laugh filled the empty room,rude,laugh,filled,empty,room,the rude laugh filled the empty room,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2956,634,67766db6d5f664c343ae5808,task-yg5q,8453.1,voice_08_clone_043_3dB.mp3,9,clone,43,3dB,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,they floated on the raft to sun their white backs ,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2957,635,67766db6d5f664c343ae5808,task-yg5q,10996.8,voice_08_clone_052_3dB.mp3,8,clone,52,3dB,the horse trotted around the field at a brisk pace,horse,trotted,field,brisk,pace,the horse trotted aroud the field at a brisk pace ,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2961,639,67766db6d5f664c343ae5808,task-yg5q,9400.1,voice_11_clone_065_0dB.mp3,11,clone,65,0dB,let it burn it gives us warmth and comfort,let,burn,gives,warmth,comfort,let it burn it gives us warmth and comfort,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2962,640,67766db6d5f664c343ae5808,task-yg5q,8390.5,voice_04_clone_049_3dB.mp3,4,clone,49,3dB,the houses are built of red clay bricks,houses,built,red,clay,bricks,the houses are built of red clay bricks ,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2963,641,67766db6d5f664c343ae5808,task-yg5q,7933.4,voice_06_clone_060_3dB.mp3,6,clone,60,3dB,pack the records in a neat thin case,pack,records,neat,thin,case,pack the records in a neat thin case,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2964,642,67766db6d5f664c343ae5808,task-yg5q,8169.7,voice_11_clone_055_3dB.mp3,11,clone,55,3dB,it is late morning on the old wall clock,late,morning,old,wall,clock,it is late morning on the old wall clock,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2965,643,67766db6d5f664c343ae5808,task-yg5q,8568.2,voice_04_clone_079_0dB.mp3,4,clone,79,0dB,the music played on while they talked,music,played,while,they,talked,the music played on while they talked ,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2966,644,67766db6d5f664c343ae5808,task-yg5q,8261.4,voice_01_clone_077_0dB.mp3,1,clone,77,0dB,throw out the used paper cup and plate,throw,used,paper,cup,plate,throw out the used paper cup and plate,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2968,646,67766db6d5f664c343ae5808,task-yg5q,6128,voice_03_clone_078_0dB.mp3,3,clone,78,0dB,to have is better than to wait and hope,have,better,than,wait,hope,to have is better than to wait and hope,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2970,648,67766db6d5f664c343ae5808,task-yg5q,10007.9,voice_10_clone_054_3dB.mp3,10,clone,54,3dB,the tube was blown and the tire flat and useless,tube,blown,tire,flat,useless,the tube was blown the tire flat and useless,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2971,649,67766db6d5f664c343ae5808,task-yg5q,7542.1,voice_04_clone_069_0dB.mp3,4,clone,69,0dB,the fur of cats goes by many names,fur,cats,goes,many,names,the fur of cats goes by many names,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2972,650,67766db6d5f664c343ae5808,task-yg5q,7377.3,voice_08_clone_042_3dB.mp3,8,clone,42,3dB,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2973,651,67766db6d5f664c343ae5808,task-yg5q,6969.1,voice_06_clone_050_3dB.mp3,6,clone,50,3dB,we are sure that one war is enough,sure,that,one,war,enough,we are sure that one war is enough,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2974,652,67766db6d5f664c343ae5808,task-yg5q,6379.8,voice_11_clone_075_0dB.mp3,11,clone,75,0dB,seed is needed to plant the spring corn,seed,needed,plant,spring,corn,seed is needed to plant the spring corn,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2975,653,67766db6d5f664c343ae5808,task-yg5q,9109.6,voice_06_clone_080_0dB.mp3,6,clone,80,0dB,the screen before the fire kept in the sparks,screen,before,fire,kept,sparks,the screen before the fire kept in the sparks,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2976,654,67766db6d5f664c343ae5808,task-yg5q,6044,voice_12_clone_056_3dB.mp3,12,clone,56,3dB,the last switch cannot be turned off,last,switch,cannot,turned,off,the last switch cannot be turned off,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2977,655,67766db6d5f664c343ae5808,task-yg5q,8248.6,voice_01_clone_047_3dB.mp3,1,clone,47,3dB,jump the fence and hurry up the bank,jump,fence,hurry,up,bank,jump the fence and hurry up the bank,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2979,657,67766db6d5f664c343ae5808,task-yg5q,6236.4,voice_03_clone_058_3dB.mp3,3,clone,58,3dB,men think and plan and sometimes act,men,think,plan,sometimes,act,men think and plan and sometimes act,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2981,659,67766db6d5f664c343ae5808,task-yg5q,6577.5,voice_10_clone_064_0dB.mp3,10,clone,64,0dB,code is used when secrets are sent,code,used,when,secrets,sent,code is used when secrets are sent,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2982,660,67766db6d5f664c343ae5808,task-yg5q,8093.7,voice_11_clone_045_3dB.mp3,11,clone,45,3dB,jerk the rope and the bell rings weakly,jerk,rope,bell,rings,weakly,jerk the rope and the bell rings weakly,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2983,661,67766db6d5f664c343ae5808,task-yg5q,9507.5,voice_06_clone_070_0dB.mp3,6,clone,70,0dB,a sash of gold silk will trim her dress,sash,gold,silk,trim,dress,a sash of gold silk will trim your dress,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2985,663,67766db6d5f664c343ae5808,task-yg5q,7140,voice_07_clone_061_0dB.mp3,7,clone,61,0dB,glass will clink when struck by metal,glass,will,clink,struck,metal,glass will clink when struck by metal,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2986,664,67766db6d5f664c343ae5808,task-yg5q,5490.2,voice_08_clone_073_0dB.mp3,9,clone,73,0dB,no cement will hold hard wood,no,cement,hold,hard,wood,no cement will hold hard wood,5,1,Female,33,United Kingdom,2025-05-13T16:02:37.997000Z,1981,160,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2992,6,6776fdc5d7a018d7d4b62f26,task-opad,8335.7,voice_07_human_018_0dB.mp3,7,human,18,0dB,open the crate but don't break the glass,open,crate,don't,break,glass,open the crate but don't break the glass,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
2999,13,6776fdc5d7a018d7d4b62f26,task-opad,8802.4,voice_04_human_006_0dB.mp3,4,human,6,0dB,hoist the load to your left shoulder,hoist,load,your,left,shoulder,hoist the load to your left shoulder,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3001,15,6776fdc5d7a018d7d4b62f26,task-opad,6898.8,voice_07_human_008_0dB.mp3,7,human,8,0dB,the wide road shimmered in the hot sun,wide,road,shimmered,hot,sun,the wide road shimmered in the hot sun,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3002,16,6776fdc5d7a018d7d4b62f26,task-opad,11059.2,voice_08_human_019_0dB.mp3,8,human,19,0dB,add the sum to the product of these three,add,sum,product,these,three,add the sum to the product of these three,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3004,18,6776fdc5d7a018d7d4b62f26,task-opad,11996.6,voice_04_human_016_0dB.mp3,4,human,16,0dB,a tusk is used to make costly gifts,tusk,used,make,costly,gifts,a tusk is used to make costly gifts ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3005,19,6776fdc5d7a018d7d4b62f26,task-opad,6235.5,voice_07_human_028_-3dB.mp3,7,human,28,-3dB,the pencils have all been used,pencils,have,all,been,used,pencils have all been used,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3008,22,6776fdc5d7a018d7d4b62f26,task-opad,6937.1,voice_11_human_002_0dB.mp3,11,human,2,0dB,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3009,23,6776fdc5d7a018d7d4b62f26,task-opad,7435.7,voice_04_human_026_-3dB.mp3,4,human,26,-3dB,these thistles bend in a high wind,these,thistles,bend,high,wind,these thistles bend in high wind,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3011,25,6776fdc5d7a018d7d4b62f26,task-opad,8575.8,voice_01_human_024_-3dB.mp3,1,human,24,-3dB,bring your problems to the wise chief,bring,your,problems,wise,chief,bring your problems to the wise chief ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3015,29,6776fdc5d7a018d7d4b62f26,task-opad,7538.7,voice_08_human_009_0dB.mp3,8,human,9,0dB,lift the square stone over the fence,lift,square,stone,over,fence,lift the square stone over the fence,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3025,39,6776fdc5d7a018d7d4b62f26,task-opad,8298.8,voice_12_human_013_0dB.mp3,12,human,13,0dB,see the cat glaring at the scared mouse,see,cat,glaring,scared,mouse,see the cat glaring at the scared mouse ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3031,45,6776fdc5d7a018d7d4b62f26,task-opad,8823.9,voice_10_clone_061_3dB.mp3,10,clone,61,3dB,glass will clink when struck by metal,glass,will,clink,struck,metal,glass will clink when struck by metal ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3032,46,6776fdc5d7a018d7d4b62f26,task-opad,8674.7,voice_08_clone_080_3dB.mp3,9,clone,80,3dB,the screen before the fire kept in the sparks,screen,before,fire,kept,sparks,the screen before the fire kept in the sparks ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3033,47,6776fdc5d7a018d7d4b62f26,task-opad,7869,voice_04_clone_076_3dB.mp3,4,clone,76,3dB,breakfast buns are fine with a hot drink,breakfast,buns,fine,hot,drink,breakfast buns are fine with a hot drink ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3035,49,6776fdc5d7a018d7d4b62f26,task-opad,9186.3,voice_08_clone_070_3dB.mp3,9,clone,70,3dB,a sash of gold silk will trim her dress,sash,gold,silk,trim,dress,a sash of gold silk will trim her dress,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3036,50,6776fdc5d7a018d7d4b62f26,task-opad,7409.6,voice_04_clone_066_3dB.mp3,4,clone,66,3dB,just hoist it up and take it away,just,up,hoist,take,away,just hoist it up and take it away ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3041,55,6776fdc5d7a018d7d4b62f26,task-opad,10933.8,voice_03_clone_075_3dB.mp3,3,clone,75,3dB,seed is needed to plant the spring corn,seed,needed,plant,spring,corn,seed is needed to plant spring corn ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3054,68,6776fdc5d7a018d7d4b62f26,task-opad,7137.8,voice_06_clone_077_3dB.mp3,6,clone,77,3dB,throw out the used paper cup and plate,throw,used,paper,cup,plate,throw out the used paper cup and plate ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3061,75,6776fdc5d7a018d7d4b62f26,task-opad,8363.2,voice_03_clone_065_3dB.mp3,3,clone,65,3dB,let it burn it gives us warmth and comfort,let,burn,gives,warmth,comfort,let it burn gives us warmth and comfort,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3063,77,6776fdc5d7a018d7d4b62f26,task-opad,8048,voice_12_clone_063_3dB.mp3,12,clone,63,3dB,a gem in the rough needs work to polish,gem,rough,needs,work,polish,the gem is rough and needs work to polish ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3066,80,6776fdc5d7a018d7d4b62f26,task-opad,6830.6,voice_01_clone_074_3dB.mp3,1,clone,74,3dB,we now have a new base for shipping,now,have,new,base,shipping,we now have a new base for shipping ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3068,82,6776fdc5d7a018d7d4b62f26,task-opad,7396.6,voice_11_clone_062_3dB.mp3,11,clone,62,3dB,the zones merge in the central part of town,zones,merge,central,part,town,the zones merge in the central part of town ,5,1,Female,31,United Kingdom,2025-05-27T08:44:39.769000Z,1889,98,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
3077,91,677c1cef9a0ae53353c940b0,task-nqkh,6766.3,voice_01_clone_032_-3dB.mp3,1,clone,32,-3dB,there was a sound of dry leaves outside,there,sound,dry,leaves,outside,There was a sound of dry leaves outside,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3084,98,677c1cef9a0ae53353c940b0,task-nqkh,6346.3,voice_11_clone_030_-3dB.mp3,11,clone,30,-3dB,at that high level the air is pure,at,high,level,air,pure,At this high level the air is pure,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3086,100,677c1cef9a0ae53353c940b0,task-nqkh,4813.5,voice_01_clone_002_0dB.mp3,1,clone,2,0dB,kick the ball straight and follow through,kick,ball,straight,follow,through,"Kick the ball straight and follow through
",5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3088,102,677c1cef9a0ae53353c940b0,task-nqkh,4646.9,voice_08_clone_027_-3dB.mp3,8,clone,27,-3dB,the coffee stand is too high for the couch,coffee,stand,too,high,couch,The coffee stand is too high for the couch,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3091,105,677c1cef9a0ae53353c940b0,task-nqkh,7547.7,voice_03_clone_023_-3dB.mp3,3,clone,23,-3dB,two plus seven is less than ten,two,plus,seven,less,ten,two plus seven is less than ten,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3096,110,677c1cef9a0ae53353c940b0,task-nqkh,4522.2,voice_11_clone_020_0dB.mp3,11,clone,20,0dB,thieves who rob friends deserve jail,thieves,rob,friends,deserve,jail,thieves who rob friends deserve jail,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3097,111,677c1cef9a0ae53353c940b0,task-nqkh,6012.2,voice_12_clone_001_0dB.mp3,12,clone,1,0dB,rice is often served in round bowls,rice,often,served,round,bowls,the rice was often served in round bowls,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3098,112,677c1cef9a0ae53353c940b0,task-nqkh,7359.8,voice_07_clone_016_0dB.mp3,7,clone,16,0dB,a tusk is used to make costly gifts,tusk,used,make,costly,gifts,a tusk is used to make costly gifts,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3100,114,677c1cef9a0ae53353c940b0,task-nqkh,5030.2,voice_12_clone_011_0dB.mp3,12,clone,11,0dB,a tame squirrel makes a nice pet,tame,squirrel,makes,nice,pet,a tame squirrel makes a nice pet,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3102,116,677c1cef9a0ae53353c940b0,task-nqkh,6784.2,voice_10_clone_019_0dB.mp3,10,clone,19,0dB,add the sum to the product of these three,add,sum,product,these,three,add the sum to the product of these three,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
3104,118,677c1cef9a0ae53353c940b0,task-nqkh,4969.9,voice_08_clone_017_0dB.mp3,8,clone,17,0dB,the bill was paid every third week,bill,paid,every,third,week,the bill was paid every third week,5,1,Male,18,United Kingdom,2025-05-27T15:17:55.888000Z,1188,6,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
