,Trial,Participant,Tree.Node.Key,display,Response,Voice,Type,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
27,167,5a50e60dacc75b000179bb4c,task-haoh,accent,2,8,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
28,168,5a50e60dacc75b000179bb4c,task-haoh,accent,1,10,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
29,169,5a50e60dacc75b000179bb4c,task-haoh,accent,2,11,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
30,170,5a50e60dacc75b000179bb4c,task-haoh,accent,1,12,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
31,171,5a50e60dacc75b000179bb4c,task-haoh,accent,1,9,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
32,172,5a50e60dacc75b000179bb4c,task-haoh,accent,3,6,human,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
33,173,5a50e60dacc75b000179bb4c,task-haoh,accent,2,11,human,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
34,174,5a50e60dacc75b000179bb4c,task-haoh,accent,3,12,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
35,175,5a50e60dacc75b000179bb4c,task-haoh,accent,1,4,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
36,176,5a50e60dacc75b000179bb4c,task-haoh,accent,3,12,human,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
37,177,5a50e60dacc75b000179bb4c,task-haoh,accent,1,7,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
38,178,5a50e60dacc75b000179bb4c,task-haoh,accent,1,8,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
39,179,5a50e60dacc75b000179bb4c,task-haoh,accent,1,3,human,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
